Apatani,English
apu alu-nanii,(Anat
apu gyahe,"(of a house structure) ceiling joists, with ceiling battens (*manko) running the opposite way"
apu kai,"(of a person, esp"
apu konchi,"young dragonfly just after it has emerged from the exoskeleton or ""chrysalis"""
apu-alunanii,"any soft material (paper, leaves, etc"
apu-nanii,cover; lid
apur,among; midst
apuñ,among
apuñ-aka,confusing state; doubtful
apu’ amè,dandruff
apvr,gallbladder
apw,breadth
apw-asó,area; dimension
apya,patch of bushy vegetation
apya abrade,kha abrupt (manner) adj
apyo,to come first; to come earlier
apyo’,dilute; make a liquid thinner or weaker
apyu,spead (a mat) on the floor
apyuñ,bunch; cluster
apyáa,tracks made by small animals
apáa,young; immature
apì-ara,clapping
apó,body
apó xeñ,toil; work hard; engage in physical labor
apóo,put cloths on cloth holder
apúu,arrow
aqa’,tie into a bundle
aqw,interjection to express indifference; let it be
aqw swco,interjection to express indifference; let it be
ara,empty
aran,[´arã] n
aran ho,ho advphr
arañ,"close, of relation"
arañ,bottom (of a tree or a bamboo)
arañ,block; choke; plug; obstruct; close
arañ nanw,cork; bottle stopper; an object to seal a container
ara’,tie
arbi,particular cut of meat of the pig sacrificed at *Myoko
arbú,unlucky; unfortunate; jinxed; ill-fated  [Ant.  aro’]
archi,to roll
arcì,roll
arda,tomorrow
arda alyin,n:time tomorrow evening
arda ayo,tomorrow night
arda-rida,in future
are,"sharp, as of a blade; sharp-edged"
areja,sharpest
areya,sharper
are’,sharp; honed
argò,"vein, artery, nerve, tendon"
arhan,[arhã] vt-r
arhi,to choke
ari,"border, limit of an area"
ari apii,neighbourhood
ari bonii,groom's friends who accompany the groom to the bride's house at the wedding
ari diinii,recipient of an *ari gift (litt
ari rutu,rice given by the bride's parents to the groom's family before marriage
ari turla,variety of bamboo mug used during certain ceremonies
ari-apii,neigbourhood
ari-rigo,stitching work
arida,in future
arii,"(of cattle, rhino, etc"
arii tute,horn and forehead of cattle
arin,adj
ariñ,brittle; fragile; breakable
ari’,choke; retch
arjin,[ardʑi] vi-r
arjiñ,stretch (esp. one’s body)
arkhu,to belch; to burp (after having ingested food or drink)
arkii,"to bind, as with a cane rope (*yaso)"
arki’,arrange (a rope) into a loop
arko,to bolt
