Apatani,English
runser,"smallest type of *murun, involving the sacrifice of only one or two mithuns, or a mithun and a cow"
runti,"to lower one's head, as is done to avoid being hit or to avoid cold"
runtii,"one of the highest and most expensive type of *murun ranking above *takun putu, involving the sacrifice of several mithuns and several cows"
runw,madman; lunatic; maniac
rupiñ,earring
rupu,silver
rutin hiiran,hiiran n
rutiñ,earing
rutiñ hwrañ,a variety of earring worn by women
ruu,drill; bore a hole in; make a hole in
ruu,chase away; drive away
ruyo,variety of earring made of cane
ruyó,a variety of cane earring
ruñ,be mad; go insane; become crazy
ruñgya’,crazy; mad; insane; not right in the head
ruñku-rufa,half mad; maniacal
ruñtì,crouch with heads lowered
rw,stagnate (as do the water)
rwbiñ,area of slash and burn cultivation
rwbw,railing
rwbó afiñ,the evening after three days
rwbó alo,three days hence
rwbó arò,the morning after three days
rwbóda,three days hence
rwgañ,edge; border; boundary
rwgiñ,an element of gwrw (trap)
rwgo’,cane loop tied on the horns of cows or mithuns
rwgw-raga,lean and thin
rwhiñ,a variety of tree
rwjañ,a bamboo species (Chimonobambusa sp.)
rwko,a variety of hardy perennial creeper; sweet tea vine (Gynostemma pentaphyllum)
rwko,tortoise
rwlañ,euphemism for “heavy” when referred to the weight of a baby
rwme,Nepalese alder (Alnus nepalensis)
rwpu,silver
rwsi-rwse,messy; disorganized; chaotic; cluttered
rww,buy; purchase	[Ant.	pyu’]
rwxw afiñ,the evening after four days
rwxw alo,four days hence
rwxw arò,the morning after four days
rwxwda,four days hence
rw’,bind; strap
rw’,cut into pieces with sawing or slicing movement
rw’,sit (as do the chickens); perch; roost
rw’lo,pour a liquid down
rw’po,tie on something
rw’ti,bind tightly
rw’tú,a part of marriage ceremony in which paddy a newly married couple harvest paddy from the bride’s family field
rì afiñ,the day after tomorrow evening
rì alo,the day after tomorrow
rì arò,the day after tomorrow morning
rìda,the day after tomorrow
rìi,mark; mark a line
ríi,drool
ríi,sew; stitch
ríipiñ,close something by stitching or sewing
rò,spy; observe furtively; keep an eye on
rúu,shed (as trees do of leaves)
sa,"expel, as when delivering babies or defecating"
sa ci’ri,a variety of antique sword
sa pila,variety of morning dish consisting of rice porridge mixed with red tea
saati,pine sap
saaxu,pine cone
saañ,grow; live
sabe,key
sabe’,key	Or.	Assamese
sabuñ,soap	Or.	Assamese
sabw,officer; a dignified person
sabè,loincloth
sacha,to get or become excited
sader,any material having tiny holes which can be used as a filter to separate solid particles from a liquid
sadi,plantation (esp. of pine); pine estate
sadi eha,ritual held in pine grove area on the 30th day of Myoko
sadi-sapa,plantation
sado,boyfriend; male lover
sadvr,conical shaped bamboo filter
safi’,green
safó,a variety of tree; Fragrant Himalayan Champaka (Magnolia champaca)
sagii,to absorb (esp
sah,tea	or.	Assamese
sah patw,tea leaf; tea grain
saha,cane rope
saiklo,bicycle	or.	Assamese
saka,to be uncertain; to hesitate
sakhii,feeling unable to achieve/do something completely
sakhu,(of conifers) cone
sakori,job; employment
sala borta’,cobra; King cobra (Ophiophagus hannah)
sala burta’,cobra; King cobra (Ophiophagus hannah)
sale,raw (undried) wood; standing wood
sale’,"raw, as of wood; standing wood"
salii,"pine tree and other mixed plantation area with or without bamboos, usually located at some distance from the village"
salii bije,pine and bamboo groves
saliñ,expel out
saluñ,medium sized cucumber
salw,plantation
salw’,push something in
salyi,green
salyi kiina,deep green
salyi koman,adj
salyo,bark of a tree
salyo pakhu,"shell of the fruit of the Champa tree, which can be used as a food condiment in *pike (*salyo pakhu pike)"
salyo paku,(Zool
salyo pike,"variety of *pike using the flower or fruit of the Champa tree dried and cooked with *pila, pork and chillies"
salyo sanii,(Bot
sama,(Bot
sama mahanii,particular ritual of during which the priest burns the limbs of the monkey that has been hunted for *Myoko
sama pinii,inaugural ritual of *Myoko performed by the *Myoko priest
samañ,pine needle
sami,to consider someone weaker than oneself
samin rako,rako n
samiñ rako,tortoise
samo,to sigh
sampe,(Bot
samper,sticks of split wood
samper ahi,(Bot
samper pike,a variety of *pike using the pulp of a wild tree as spice
sampi,to stuff in
sampo,log; timber; piece of wood
sampu,"large, chunky or discoid white bead made of chank shell (Turbinella pyrum)"
sampya,(Agric
sampyu,a variety of blue coloured beads
sampyu page,variety of light blue melon bead
sampyá,wooden tray used for transporting soil from one place to the other in an agricultural field
sampú,a variety of white beads of chank shell
san,vt-r
sana,"to breathe rapidly and heavily, as from running fast; to pant; to gasp; to be breathless"
sanba,(of a plural subject) to live or grow up together
sanbii,"branch, of a tree"
sanbo,to grow up with someone
sanbo-gyabo,to live or grow up together
sanbyan,adj
sancha,to grow up
sanda,long wooden post
sangii,"to bring up by nurturing, educating or training; to rear (child)"
sangii-gyagii,to prosper; to become wealthy; to fare well; to have good fortune
sango,"life, in general"
sango tape,"fastener for necklaces made of a flat, round or square chank shell button, usually worn on the nape of the neck "
sango-gyago,livelihood
sanii,tree
sanii aha-abya,tree branches
sanii taro,(Bot
sanii tero,(Bot
sanii- sanko,forested areas
sanje,timber
sanje sampu,smaller chank shell bead used to make up the upper section of a *sampu tasan
sanju,way of living; lifestyle
sankhan melyan,melyan n
sankhan sanchun,sanchun vt
sankhe page,variety of dark blue melon bead 
sankhii,(Bot
sankho,"smoke-dried or grilled over the fire, as of meat"
sankho pike,slendered dried fish *pike
sanko,residence; dwelling; place for living
sanko bacho,(Bot
sanku,(Bot
sansun,adj
santa,wooden plank
santa ude,house wih plank roof
santer,"variety of large, turquoise-blue, chunky glass bead "
santer page,variety of light blue melon *page bead 
santi,(Bot
santin anyan,anyan n
santin babo,babo n
santu,tree
santu payu,variety of natural resine obtained from a jungle berry
santu tero,(Bot
santu-payu,variety of natural resin obtained from a jungle berry
santì,a variety of hardwood
santú,tree
santú payu,a variety of resin used as glue obtained from a jungle berry
santú tero,a variety of wild pepper
sanw,tree
sanw tero,Sichuan peppercorn; prickly ash
sanye,timber
sape,to be sure of one's ability to do something; to dare to do something
sapi,a variety of tree
sapo,to feel confident about one's ability to do something easily
sapu,"(of colour) pale, light"
sapu-salu,(of colour) grey; ashy
sapur,generation
sapì,flattened
saq,cot; bed
sar,denigrate; criticise; disparage
sarbi,to tear something on someone else's behalf/for someone
sardiñ,short-cut	v.	take a short cut
sargya,"to diverge from one's normal, usual or expected route"
sari,a variety of tree which is allergic to those who are sensitive to it
sarii,"knot, as of a tree; hard lump where a branch grows out"
sarin sa,sa vcn
sarja,to tear off by hand
sarja’,rip; tear
sarkhe-sarse,(Agr
sarkho,(Agr
sarko,"to tear open (an envelope, etc)"
sarko’,rip open; tear open
sarlañ,a variety of cane
sarli,millet seed preserved for the next season
sarma pucuñ,a mound of refuse mainly comprising of millet stalk and other weeds in a millet garden
sarne,"to tear (a paper, cloth, etc"
saro,"variety of blue, slightly translucent, medium-sized glass bead"
saro page,variety of blue *page bead
saro sanii,(Bot
saro’ sanw,banyan tree (Ficus bengalensis)
sarpa,to look down; to criticise; to reprobate
sarpu,balloon
sarpu sarse,an early ripening variety of millet
sarpu-sarse,(Agr
sarpu’,balloon; bladder
sarse,millet
sarse pakhe,(Agr
sarsii,bland; flavourless; tasteless; watery
sarsw’,bland; insipid; weak (of liquor)
sarw,knot (of tree); nodule; node
sarw,teacher	Or.	English
sarxe sarse,a late ripening variety of millet
sarxo,"stalk, of millet"
saró,firewood of bamboo
sati,umbrella	Or.	Assamese
satiinii,"aged pine trees (Pinus wallichiana) which are preserved, to which mythological beliefs are often attached"
satu rindo,I'm constipated
saye,(of two or more items)
sayi,to swallow a liquid at a single gulp; to swallow up; to gulp down
sañ,push or stuff something
sañbw,"branch, of a tree"
sañbyuñ,immerse; submerge; soak in water
sañca,grow up
sañcí,a variety of fruit
sañda,long wooden post that support a traditional house on both sides
sañgo,life
sañgo tape,a kind of bead
sañje,timber; wood
sañkó,a kind of fruit
sañpvr,a variety of fruit used as a spice
sañsuñ,plantation
sañsuñ,weedy
sañta’,wooden plank
sañta’ ude,wooden house
sañti,push something tightly as when packing
sañtiñ,of same age; contemporary
sañtuñ,generation
sañtvr,a variety of glass bead
sañtvr,fully grown
sañxañ,rubber
sañxañ,border post
sañxañ mefañ,a variety of fencing plant; privet (Ligustrum ovalifolium)
sañxe page,a variety of bead
sañxw’,retarded growth
sañxw’,a variety of plant used as dye (Eurya acuminata var. euprista)
sañxó,smoke-dried meat
sa’,breath; suck; cough
sa’ca,get excited; be motivated
sa’hi,gulp; drink in a single gulp
sa’ka,contemplate; consider; deliberate on
sa’ka-sa’ka,hesitate; be uncertain; be of two minds
sa’liñ,breathe out; exhale	[Ant.	sa’lw’]
sa’lw’,breathe in; inhale	[Ant.	sa’liñ]
sa’na,out of breath; breathless; panting; gasping
sa’pe’,optimistic; hopeful; be confident	[Ant.	sa’xw’]
sa’piñ sa’ko,suffocating; stifling
sa’po,be confident; underestimate; underrate; confident	[va.	sa’pu]
sa’pu,be confident; underestimate; underrate; confident
sa’riñ,cough
sa’xw’,intimidating; unnerving; daunting; formidable	[Ant.	sa’pe’]
se,pull
sebi,to drag something for someone
sebo,to drag something along with someone
seh,flat cane string for carrying load
sekho,"sharp, e"
selii,to drag something in
seliñ,pull something out
selw,pull something in
sembi,"leaf that has partially withered, e"
sembo,Wild Himalayan cherry	(Prunus cerasoides)
semo,Wild Himalayan cherry	(Prunus cerasoides)
sen,vi-r
sensii,(of animal) lean and thin
senyi,(Bot
senyi apu,rhododendron flower 
sepii,to pull something breadthwise or from the sides
sepo,thin long cut caused by some sharp edge scratching over a body tissue
ser,strangled
setu,stop by pulling
seven kanu-khannge,kanu-khannge n:num
seya hamañ,Chameleon plant (Houttuynia cordata)
sezi,rhododendron
señ,wither; dry
señbi’,half withered
señsw’,dry (of wood); thin (of a person)
sha chiri,variety of highly prized Tibetan sword (*chiri)
shado,boyfriend; male lover; boy or man who can be a prospective boyfriend or lover
shati,grape
shii,to scratch (with fingers)
shor,to complain
shu,to rear an animal; to breed and raise an animal
shuhu,"continuously, as of something that is flowing or being generated"
si,dem.	this
si nii,hopa?
si sita,urinal; place/area for urinating
si ta,loc
si ya,loc
side,of the belly; area of the body located above the hip
sih’,spring (esp. where animals come to drink)
sii,cow
sii atu,calf
sii hiibo,bull
sii hiinii,cow
sii ikha,cowdung
sii lutii,grazing ground for cows
sii riigo,cane loops for tiying cows
sii talan,adj
sii yo,beef
sii-subu,cattle
sii-subu bonii,name/title given to the groom's elderly clansmen who take the groom's mithun to the bride's father during *ari paniin ceremony
siibi,(Zool
siibi dinkhu,monkey skull
siibi koter,(Anat
siibi-bidii,(Zool
siibi-binii,female monkey
siibi-bipo,male monkey
siibi-biser,(Zool
siibin,[si´bi] n
siibin aha,aha n
siibin yo,yo [si´bi ´yo:] n
siibin-bimpo,[si´bi ´bimpo] n
siibin-binnii,[si´bi ´bini] n
siibi’,shrivel; wither; wilt
siibo,(Zool
siibun,[si´bũ] n
siibyo,(Zool
siichan miido,miido n
siichi,(Zool
siicho,spring; water source of a stream that gushes out of the hillside or mountainside
siichur,(Zool
siidin atu,atu n
siido,(of a mithun or cow) heifer; fully-grown young ox
siigan,[si´gã] n
siigan latinii,latinii n
siigan-siilin,[si´gã si´li] n
siigo,(Agr
siija,to tear off something by scratching
siijalo,although; even (though); even if; despite (that)
siika,this
siika anyi,these two (used for both people and things)
siika atan,dem
siikane,this much
siikha,to scrape with one's nail
siikhii,"sand, in general (esp"
siikho,"water channel or duct, in general"
siikho latinii,maintenance of field channels
siikiiso,here
siilan pachan,pachan n
siilii,(Zool
siilin,adj
siilo,today
siilo lyiyepa,till today
siilo-biilyo,lately; recently; in recent times
siilo-holo,hurriedly
siiloda,today
siilyin,n:time this evening
siilyin dalyi,dalyi n:time this afternoon
siilyin-siiro,n:time nowadays
siilyinda,this evening
siilyo,waterside; shore; bank
siima,corpse; dead body
siimane,you (pl
siimer,silt
siimi,pond; lake
siimyo,(Zool
siine,you (pl
siini,sugar
siini tihi,sweet
siinii,cow (as opposed to bull)
siinyan,[si´ɲã] n:time this year
siinyan-siilo,[si´ɲã si´lo] adv
siinyi,(Zool
siiper,pond
siipi,(Zool
siipi pi,to sew
siipu,(Zool
siipya,(Zool
siiran sanda,sanda n
siire,(Zool
siire thiikhe,(Zool
siirii,variety of horn bugle used in various rituals
siiro,this morning
siisi,now; just now
siiso,(Zool
siitan,[sitã] pron
siitanpa,like this; in this way
siitii,(Zool
siitii ahi,elephant tusk
siitin,[si´ti] n
siito,[do]!
siitu,to hold firmly
siiyo,this night; tonight
siizi’,small-sized larvae of dragonfly
siiñbo,large-sized larvae of dragonfly
sikii,its (of it; belonging to it)
sikii si,this
siko,urinal; toilet; place for urinating
sikuñ-siri,wrinkled; crunkled
sila,to stitch; to sew
sila’,stitch or sew (esp. with sewing machine)	[Or.	Assamese]
simbya,balcony in a traditional house
simbya alo,joist supporting the horizontal platform
simbya miidu,"to prepare, repair or renovate the open platform, especially in preparation for sacrifices taking place during a *Murun"
simbya pata,bamboo splits used to cover the platform
sin,vsuff
sinniin,[sini] n
sinyi,these two
sipun,[sipũ] n:time recently; these days; in recent times; nowadays
sipuñ,recently; these days
sisa,glass	or.	Hindi
sisi,now
sitañ,like this; this way
siti,letter
siyo,this night; tonight
sizi’ tasiñ,a variety of small sized larvae
siñ,feed (esp. liquid food)
siñbya,balcony in a traditional house
si’,urine	v.	urinate
so,post.	at; in
so,dem.	here
so-,"long, thin, often potentially flexible objects or living things"
sobo,to play with others
soh,play; joke; flirt
sohte,roam; travel for fun
soi-somi,casually; for recreation; as a pass time activity
sojañ,lizard
soka,to play
soker,"circle cane, a ritual element of sacrificial altars"
soki,chair
soki’,chair	or.	Assamese
soko,(Anat
soko- ngarko,place for amusement/entertainment; recreation ground; entertainmenent ground
soku-soka,tease; make fun of; poke fun at; trifle with
sokun,n:num
sokun ajin,ajin n
sola-ngarla,(of a person) humorous; having humour; funny
soli,a sacrificial share of meat comprising of hind leg
solya,to play in a habitual or expected way
some,palm civet
some,bamboo shavings used as an element of altar as well as for decoration
somiñ qarmiñ,entertainment; amusement; enjoyment
son,vi-r
sone,"(of long, thin objects/living things) how many"
sonyo,"(of a long, thin object/living thing)"
sopin,[so´pi] n
sopiñ,lizard
sopo,slim; slender; svelte; lissome
sor,stretch; sprawl; lounge
sor,complain; protest
sor,slip; skid
sorjiñ,stretch straight; straighten out	[adj.	straight]
sorjo,elongated
sorjo’,elongated; straighten out
soro,"(of a long, thin object/living thing) long"
sorpii,to place or dispose something breadth-wise
sorò,thick (of objects like a thread)	[Ant.	sozó]
sosa,"(of two or more long, thin objects/living things)"
sosher,(of a sound or voice) strident; shrill; piercing
sosi-sosi,one after another
sosiñ,steel wire rope
sosi’-sosi’,in a line; one after the other
sosma,goggle	or.	Assamese
sosvr,shrill (of voice); high pitched; thin voice
sote,to roam around; to hang around
sotu,to play for the first time
soxañ,trophy; memento (esp. of special achievements)
soy tarw,sweater	or.	Assamese
sozó,thin (of objects like a thread)	[Ant.	sorò]
soñ,move sideways
so’ko,jaw
stick'' khotu,traditional hair metal skewer for males
su,evaporate; emit smoke
su-,granary
subi,to follow or spy someone on someone else's behalf; to seek information for someone
subo,to draw water across something
subu,mithun; bos frontalis
subu ane,"mithun with horns equal to the span from thumb to middle finger, counted as four mithan value in the traditional bartering system"
subu arww,mithun horn
subu atu,mithun calf
subu bonii,name/title given to the groom's elderly clansmen who take the groom's mithun to the bride's father during *ari paniin ceremony
subu henii,main ritual chant recited by a priest during the performance of a *murun
subu ipa,mithun dung
subu ipa’,mithun dung
subu lembo,forest path used to tend mithuns
subu penge,"mithun calf without horns, counted as one mithun value in the traditional bartering system"
subu riigo,cane loops for tiying mithuns
subu rwgo,plaited cane ring for mithun horns
subu sa,cane rope for mithuns
subu saha,"rope made of cane wicker for tiying, fettering or hobbling mithuns"
subu si,"spring, puddle or pond where mithuns gather to drink"
subu sih’,pond or puddle where mithuns gather to drink water; watering hole
subu siibo,mithun bull
subu siido,young or half-grown mithun
subu siikha,ritual altar erected in front of an Apatani house for *Murun where the mithun to be sacrificed for the *siikha botinto ceremony is brought and tied up
subu siinii,mithun cow
subu supundo,ritual smearing of a mithun prior to its sacrifice during a *murun
subu swbo,mithun bull
subu swdó,half grown mithun
subu swxa,altar on which the mithun is sacrificed during Subu or Muruñ festivals
subu tado,common term denoting the sacrifice of a mithun
subu tute,(Bot
subu tu’te’,a variety of wild strawberry
subu-sii,cattle
subu-siidohe,"young mithun with horns equal to the breadth of two fingers, counted as two mithun value in the traditional bartering system"
subú,alley; back alley
sudu,bamboo container
sufi’ sume,crooked; dishonest; untrustworthy
sufu,empty (of feeling)
suh,spring
suju siimer,"fertile/rich in resources, as of a land, area, etc"
suka,to make an investigation; to inquire into
sukun piitin,piitin n
sukuñ,well; spring
sukuñ pwtiñ,open space by a well
sulu,fence; wall
sulu kagenii,male leader of a *sulu sikhii who supervises the construction and maintenance of fences
sulu miikhu,to demarcate by erecting a fence or a barricade
sulu miitinii,construction/repair of a *sulu fence
sulu pechar,(Zool
sulu sikhii,(Agr
sulyi-sume,not straight; askew; crooked
sulyu,"empty and silent, as of a place"
sulú,fence
sumu,giddy; dizzy; vertiginous
sumù,sand
supa,to draw (extract water or air)
supu,blaksmithy
supu pu,to forge
supun,[su´pũ] n
supun bulyan,bulyan n
supun dapo,dapo n
supun ho,ho advphr
supun melan,melan n
supun niin,niin n
supun pinta,pinta n
supun tarii,tarii n
supuyu,drain water
supuñ,ceremonial smearing of sacrificial animals with rice powder
supuñ,world
supuñ piñta,beer container used during rituals
supuñ tarw,traditional dress for ceremonial occasions
supyu’,drain water
supù,blacksmithy
suru,deceiving; deceptive
suru donyo,rascal; scoundrel; traitor
surù,coarse sand
surúu,deceptive; crafty; treacherous
surúu dozó,traitor; scoundrel
susa,(of two or more granaries)
susumomo,disappointed; dispirited; downcast
su’,probe; explore; investigate
su’,ladle; scoop
su’bi,ladle water for somebody
sw,die
sw,claw; scratch
swbi,monkey
swbi bidw,a variety of monkey
swbi bisvr,a variety of monkey
swbiñ,goat
swbuñ,sheep
swbyó,flying squirrel
swcañ,earth
swcañ mwdo,universe
swco’,spring; wellspring; fountainhead
swcú,stag
swcúr,stag
swdiñ,barking deer; muntjac
swdó,heifer
swfiñ,this evening
swfiñ dafi,this afternoon; towards this evening
swfiñ swro,now a days; these days
swfo’,river bank; beach
swgañ,irrigation channel; drainage system; small natural rivulet
swgo,bridge
swha,cane rope
swhuñ,hanging bridge
swjvr sw,commit suicide
swki,a variety of wild cat
swlañ pacañ,nape of the neck
swliñ,a small track inside the kitchen garden
swliñ,irrigation channel
swliñ,wild (of a domestic animal esp. a mithun or a cow)
swlo,today
swlo bwfo,recently; lately; now a days
swlo-holo,hurriedly; excitedly
swlw,Large Indian Civet (Viverra zibetha)
swlw’,water container of bamboo
swlì,water body
swma,corpse
swmi,lake
swmvr,silt; sand
swni,sugar	Or.	Assamese
sword pabo,to pile something across
swpi’,needlework; needlecraft; embroidery
swpi’,pangolin
swpvr,pond
swpya,dhole; Asiatic wild dog
swrañ,post; pole; pillar
swre,wild pig; boar
swre taxe,tick
swre twxe,tick
swriñ,otter
swro,this morning
swrw,"bugle of horn, usually of yak horn"
swsi,now
swso,wild cat
swtiñ,bear; Himalayan black bear
swti’,letter
swttiñ,warrior’s shield (esp. of buffalo skin)
swtw,elephant
swtw ahi,elephant tusk
swtw byako,yellow berried nightshade (Solanum xanthocarpum)
sww,cow; ox
sww atúu,calf
sww hwbo,ox
sww hwnw,cow
sww ixa,cow dung
sww lutw,grazing ground
sww yo,beef
swxa’,scratch; scrape; abrade
swxw,gravel
swxẁ,porcupine
swxẁ puxẁ,porcupine
swxá,an altar
swxó,water channel
swyiñ,a variety of carnivorous animal
swzañ,this year
swzañ-swlò,now a days; these days
swzi,sugar	or.	Assamese
sár,rip; tear
sárce,tear something into two parts
sù,rear; breed; bring up; nurture
ta,listen; hear
ta'ngo,"part of a music, speech, etc"
ta'ngu,(Zool
ta-,piece of flat object; sheet; volume
taa,swim
taabyó,a temporary hut
taapya’,unfasten or untie a knot
taar,wire; cable; power line
taarò,many; large numbers
taaró,variety of a fig
taaxè,lie on one’s back; lie supine
taba,(of a plural subject) to cut together (with an axe or a hoe)
tabe,sugarcane plant
tabe akho,sugarcane
tabe axóo,sugarcane
tabi,to cut (with an axe or a hoe) on someone else's behalf/for someone
tabin-talin,adj
tabiñ-taliñ,bare; naked
tabo,to cut (with an axe or a hoe) along with someone
tabu,snake
tabu ngiiyi,(Zool
tabu niimi,(Bot
tabu nwmiñ,a variety of plant (Arisaema)
tabu qwi,eel (Anguilliformes)
tabu somiñ,a variety of legless lizard
tabu-taru,"grainy/pimple-like, as of an appearance on skin"
tabuñ,smallpox
tabu’-taru’,dirty; dusty
tabyo,a species of bamboo (Chimonobambusa callosa)
tabyò,be attracted on listening
tabè,"a variety of tree of palm family, the trunk of which is edible"
tacañ,wood-boring insect
tace,divide; distribute
tachan pibiido,pibiido exp
tachehe,part or half of what has been cut with an axe or a hoe
tachi,(Bot
taciñ,understand; comprehend
taci’,wood-boring insect attacking bamboo or softwood
tacì,crab
tader,(Zool
tado’,a variety of yellow beads
tado’ tasañ,a variety of yellow beads
tadu,to damage/destroy something by cutting it with an axe or an hoe
tadvr,parasitic worm
tadvr,a bamboo species (Pleioblastus simonii)
tafa,listen
tafi’,bruise; contusion
tafuñ,tapeworm larvae
tafí,sarcastic; ironic; sneering
tage,(Bot
tage’,listen attentively
tagi,(Agr
tagii,to take someone along with oneself to hear/listen to something
tagii-kagii,to teach someone something
tagin taje,taje n
tago,a variety of tree
tago ali,wooden tricycle used by children as a toy in olden days
tago alì,a wooden tricycle used a children’s toy the wheels of which are of tagó tree trunk
tago’,ignore (listening)
tagur enso,(Bot
tagur eñso,a variety of weed
tagw,learn (by listening)
tagya,to hear uncorrectly
tagyan,adj
tagya’,hear wrongly
tagyo,"spotted, as of an animal"
tagyun miijer,miijer n
tagywñ mwjvr,matchbox
tagyá,wood wasp
tagì,sickle
taha,(Bot
tahansi,(Zool
tahañ-si’,mangoose
tahi,(Zool
tahi-tammi,fastidious about drinking
tahii,to ask a question
tahii-takhe,to ask around; to consult
tahiñ,mushroom
tahu,(Zool
tahu yamu,(Zool
tahw,ask; inquire; interrogate
tahw’,hard of hearing
tai belañ,a variety of acacia tree usually used for hedges
tai hamañ,a variety of vegetable (Amaranthus spp.)
tai’ koya,gonorrhea
tai’ swtiñ,epileptic fit
tai’ tapiñ,corn
taje,to hear the truth or reality; to believe or trust what one hears
taje-tanye,to scuttle; to scurry; to act in a hustling manner; to run hastily
tajer,(Bot
tajer yaso,"rope made out of *tajer plant, usually used for binding purposes in roof-making or during rituals"
taji ale,very thin
tajo,variety of body colour pattern for mithun bulls
taju-riyañ,variety of a plant; Job’s tear
taju-tamyo,way/manner of cutting with an axe or a hoe
tajvr,a species of bamboo
tajvr,a bamboo fish trap
tajè,believe; regard as true; be convinced by
taka,ask; inquire; interrogate
take,"infectious agent or germ, in general"
take birii,bamboo tube used to suck human blood
taker,star
take’,germ
takha,to fail to hear; to hear wrongly
takhe,(Zool
takhe hubyu,skeletal cane sheath of a machete or sword
takhe lahii,to dive
takhii,(Zool
takho,(Bot
takho gakhe,children's bangle made of *takho fern
takhun,[´ta´xũ] n
taki,ginger
taki yanii,"ginger leaves, used in various food preparations"
takiñ,cowrie shell
takiñ za’co,cowrie shell
tako,filth; dirt of the body
tako-laro,variety of a hard stone
takolaro,variety of white hard stone that produce sparks when struck with another similar stone; flint used to start a fire
tako’,dirt
taku,(Bot
taku rila,"cucumber tendril, a twisting, threadlike outgrowth by which the plant grasps an object or a plant for support"
taku sanii,cucumber plant
taku-kuli,cucumber seeds
taku-tamu,a decorated bamboo stick used during penw procession of Muruñ festival
takun,[ta´kũ] n
takun ahi,ahi n
takun apu,apu [ta´kũ a´pu:] n
takun putu,putu n
takun sanii,sanii [ta´kũ´sa:ni] n
takun yarii,yarii n
takuñ,peach	(Prunus persica)
takuñ putu,a lesser variety of Muruñ festival
takuñ yaarv,cricket (Acheta domesticus)
taku’,cucumber
taku’ kuli,cucumber seeds
taku’ riila’,cucumber tendril
takvr,star
takvr,sputum
tala,lock
talan papi,papi n
talañ,brownish color (esp. of a cattle)
talañ,a disease with skin eruptions including chickenpox and measles
tale,(Bot
tale pike,green onion *pike
tale’,a variety of garlic
tali,(Zool
tali yordu,a variety of chilly
talii,to agree to a proposal
talii myoko,land of the dead for males who die of unnatural/violent death
taliipa sii,(of a male) to die of unnatural/violent death
talo,brass plate
talo punyu,[´talo pu´ñu:] metallic spoon
talo pwzu,spoon
talu balo,to deceive; to betray; to cheat
talu ba’lo,betray; deceive
taluñ,an infertile woman
talẃ,unnatural death
talẃ myoko,land of the dead who meet with unnatural death
talw’,agree
talya-kalya,attentive
talyato la,"'Excuse me', 'Listen'"
talyi,(Med
talyiku,am going to [do] at the instant
tama,(Bot
tama amu,filandrous bark of the *tama plant
tama’,a variety of tree
tama’ amu,fibres of tama’ tree used as cover of havershack or cap
tamber,to drink or smoke too much of something and have one's body reacting badly later on
tami,(Bot
tami mii,to de-weed
tamin sanii,sanii n
tamiñ,Common Indian madder (Rubia cordifolia)
tami’,fly (Diptera)
tamo,(Bot
tampu,to drink or smoke something by mistake or inadvertently
tampyo,to drink/smoke before anyone else does; to drink/smoke in first place
tamu mii,"to perform a variety of comic dance with a sexual connotation, as done by young males participating in a *penii procession in various attires and costumes"
tamur,to be confused by what one hears
tamyo,a variety of tree
tamyó,"a colour pattern of a mithun, of black colour but a white patch running from the head to the tail at the back"
tamì,weed
tamù,a deity
tan,[´tã] vt-r
tanba,(of a plural subject) to drink or smoke together
tanbi,to drink or smoke on someone else's behalf
tanbo,to drink or smoke along with someone else
tanche,to share drinkables
tancher,choosy about drink
tandii,poisonous to drink
tandii giinii,poisonous drink
tane,"(of thin, flat objects or materials such as sheet of paper, books, etc"
tangii,"drunk, from drinking alcoholic beverage; inebriated or stone, from smoking"
tango,thing to be drunk or smoked
tangusi,(Zool
taniñ,variety of a plant; wild sesame (Perilla frutescens)
tanka,to test something by drinking or smoking it
tankhii,to have no more desire to drink or smoke after having had a bad experience
tankhu,"leftovers of drinkables/smokeables, e"
tannyo,to practise drinking or smoking
tano,thread; yarn
tano gorgo,(Zool
tano horto,yarn thread
tano pakhu,snail shell
tano piiyi,condensed mucous
tano pvrv,traditional spinning wheel used to wind yarn into balls
tano-gogo,snail
tano-gorgo,snail
tano’,snot
Tanw,Apatani tribe; people of Apatani tribe
Tanw aguñ,Apatani language
Tanw miyu,Apatani people
tanyi,(Bot
tanyi aru,outer cover of a corn/maize ear
tanyi marpu,cornsilk
tanyi miige,tongs used to take roasted maize out of the fire
tanyi pamii,powdered corn/maize
tanyi-nyili,maize/corn seed
tanyo,"(of thin, flat objects or materials) small"
tapa,hear; get news or information
tapakohe,everywhere (as far as one can hear)
tapan tayin,tayin n
tapañ,algae; moss
tapañ dafi,east
tapañ-kara alo,Tuesday
tapa’,ignore (listening)
tape,pumpkin
tape apu,pumpkin flower
tape hamañ,vegetable of pumplin leaves
taper,"element of the *babo structure: two pairs of elongated planks of 5-6 meters long, arranged so as to form a narrow twin-armed platform"
taper liidu,"collective ritual performed on the third day of Myoko festival, mainly consisting in a procession around the village performed by male members carrying *taper leaf brushes and covering the *nago shrine with them"
taper panii,one who is imprisoned with *taper (unspecified)
tape’,leech
tapi,a variety of cane
tapi ngiila,(Zool
tapi tame,(Zool
tapii,element of a loin loom used to tighten threads
tapin piilo,piilo n
tapiñ,ice
tapiñ,a species of bamboo
tapi’,a variety of bird
tapi’ qwwla,owl
tapo,a variety of hardwood tree
tapor,variety of body colour pattern for mithun bulls
tapo’,variety of tall grass
tappo,spinning knot
tapu,variety of body colour pattern for mithun bulls
tapun,[ta´pũ:] n
