English,Apatani
punishment (esp. from gods/spirits),kaho/uyi kaho
puntius ticto,papi ngiiyi/ngiiyi papi
puppy (dog),aki-kipo
purchase,rii
purchase,riiniin
pure (in heart),darii
pure white,pulu tata
purification,meder
purity,meder
purple yam,in'yin
purpose,digo
purposely,-din
purposive case suffix,-pa
pus,tarnye/tarne
push (esp. elongated things),lii
push (by fingers),ten
"push (by hands, with force)",tu
push (as in a crowd),nensu
push down,nalo
push down (with one's leg or foot),chalo
push inside,salii
push out (with force),tulin
push out (by fingers),telin
push (tightly),santi
put (clothing),ke
put aside,laho
put breadthwise,rapii
put down (to block something),batin
put in (esp. small things),ten
put in (cloth),peyi
put into order,hulya-huda
put lengthwise,raso
put on (clothes),khelii
put one's hand in,yuha
put to a higher location,lacha
put (vertically into the ground),hii
put on (cloth),agii
put (rice) to the mouth,ayi
put up (a spring action snare *giirii),gii
put up with,pi
put upside down,kulu
putrefacted,yaje
pyrrhocorax pyrrhocorax,lyaso
pyrus pashia,piita sanii
python (python molurus),biirin/budi-burun
quality (how good or bad something is),aya kacho
quarrel,gaya
quarrelsome,gaga
quavering (voice),lulye-luche
quiet,yanu
quietly,yanu-yanu
rafter,paga
rafter (roof),nalye
railings on the veranda,riibii
rain,miido/mudo
rainbow,nyime yaru
raindrop,miido-dodu
raised (surface),puntu
randomly,henko-henko
rascal,suru donyo
rather (than),ya
rat (generic),kubu
rat excrements,bui
rat trap using a stone slab,dopya/kubu dopya
rattan palm (calamus acantospathus),taser
raven,piiha/puha
raw,ayi
raw meat,arpe
react,dii
real,jije
reality,jije
really,jijepa
really (emphatic),-bii
rear,asho/aso
rear (an animal),shu
rearing,ashoniin/asoniin
rebound,cho
rebuff,nyadu-nyabo
rebuke,ga
recently,ayumada
reciprocally,-ko...-pe
reckless,bepa-beya
recreate (play),somin-ngarmin
rectal prolapse,ilyin poliniin
recur,lyiti
red,lanchan
red (bright),lanchan-lankho
red (dark),lanchan koman
red (deep),lanchan kiina
red-billed chough (pyrrhocorax pyrrhocorax),lyaso
red-billed leiothrix (leiothrix lutea),rahe
red jungle fowl (gallus gallus),parsin
red-tailed loach (aborichthys elongatus),ribu ngiiyi
reddish soil,dilan/kiidi-dilan
redflower ragleaf (crassocephalum crepidoides),genda haman/halyan haman
reflection (figure cast by a mirror),yalo
reflection (figure cast in water),yasi yalo
refreshing,jojo
reiterate,luti-luti
relatives and non-relatives,ato-mi
relax (rest),dumo
remaining residue of a rotten or decomposed thing,yakhu
remind,lupa
remind (something over and over again),lukhan
remnants of unhusked rice,amo
removal (of something),pyuniin
remove,pyu
remove (a load),balo
remove (soil with some levering tool),hepa
repeat (something previously said),luti
replace,jogu
reply,lukur
reprimand,ga
request something for someone,kubi
resemble,gii
resin,payu
resin container,payu sudu
resistant (material),adan
resolute,gager
resolutely,gagerpa
resort to an ordeal,dinsu
rest,dumo/domo
rest in lying position,gii
resting area,nyatu
resting area (along trails in forest),yasan nyatu
result (of doing something),-jo
retaliate,-li
retort,lukur
return (from paddy fields),aji ine a
return,akur
revenge,bodla* laniin
reverse,chuku
reversed,chuku
reward (for doing something),-jo
reward for a hard work,kiiran-ranjo
rhadinophis prasina,biishan/biihan/bushan tabu/tabu-bushan
rhino beetle,toro
rhino beetle horn,toro arii
rib,akhii alo
rhizome (of a bamboo),liima
"rice (general, as crop)",emo
rice (as crop or plant),endi
rice (as grain or crop quantity),amu
rice (set apart for pounding),du
"rice (unhusked, uncooked)",emo
rice (meant to be unhusked),diilo
rice (fermented),pona
"rice (husked, cooked)",apin
rice (given by the bride's parents to the groom's family before marriage),ari rutu
rice beer,o
rice beer (strong),pore o
"rice field (adjacent, downslope)",garpii
rice field (located in close proximity to the village dwellings),lengo aji
rice field (located far away from the village dwellings),jabyo aji
rice field (lowermost of a person's fields),garko
"rice field (adjacent, upslope)",garpii
rice field (uppermost of a person's fields),gardin
rice flake,chanta
rice flowering stage,lamu-lange
rice grain,enbo
rice harvest,entii
rice porridge,pila
rice powder,yatan
rice seed,"eli (Ha, Bu)/ili"
rice sprout,eni
rice stalk,enkho
rice stalk base (that remains in the field after harvesting),eran
rice storage container,embin khanchu
rice threshing,emo daniin
rice threshing (by trodding underfoot),emo neniin
rice winnowing,emo heniin
rich,mingo
rid,-pa
ridiculous,ngarnan
ridge,yorgan
ridge pole,malo abu
"right (side, direction)",labi
right ear,rubi yaru
right hand,labi ala
right leg/foot,liibi ali
rigid (unyielding),tunblun
ring,lachan
ripe,armin
rise,barcha
rise (sun),cha
risible,ngarnan
ritual chant (variety),beniin
ritual (generic),chichin
ritual mast erected during *myoko festival,babo
ritual proscription/abstinence,anyo
river,kiile
river sand,sumu/siimu
riverbank,siilyo
road,lembo
roam,gya
roam around to relax,gyahi-gyaso
robust (material),adan
rock,yalan
rock trap,dare
rohu (labeo rohita),olyo ngiiyi
roll across,babo
roll lefttward,jichi
roll rightward,jibi
roll up,bacha
romance,nyimun miha sosuniin
roof battens,nalye lyata
roofing beam (horizontal),manpo
rooftop (vertex),malo
roomy,hoho
rooster,ropo/paro-ropo
roots (remaining in a paddy field),saran
rope (split bamboo),yamyo
rope (to tie dogs),dula/aki dula
rope (to climb trees),liike
rot,ya
rotten wood,yasan yayin
rough (voice),bamban/bamba
roughly touch someone,giije
round object,alin
round,jipu
row,yor-
rub,nyu
rub (with the finger),ti
rub (with tool),ne
rub (a blade),api/pi
rub off (with the finger),tipa
rudely,bakhe-bakhe
rufous-necked hornbill (aceros nipalensis),piiyo
"rug (of animal skin, used as floor covering)",leta
rump (of a bird),kochun
ruin,-kho
run (fast),harga
run away (from someone),harle
run back,harkur
run before anyone does,harnu
run before someone,harnu
run first (before anyone else does),harpyo
run over,harje
run the wrong way,hargya
run with someone,harbo
run across,harbo
rung (of a ladder),haka
run into each other by chance,inko-inpe
safe,hoi
safety pin,ulyan kuti
salary,dorma*
sale,pyuniin
saliva,taker
salt,alo
salt container,alo sudu
salty,alo tihi/alo tiyi
salty substance obtained from the ashes of certain plants,tapyo
sand,siikhii
sand (land),dikhii
sand (river),sumu/siimu
sand (coarse particles),suru
sap,api-ala
sapling (of oak tree),rapa
satisfactory,hembyan
saturated (colour),keke
saucepan,piichan
save (preserve for future use),henjer
saw,ari*
say,lu
"say/speak pointedly, or directed on someone",luche
say/tell something in advance,luko-lumyo
say/tell something mistakenly,lupu
say words in the wrong order,luku
scab,chenkho/une chenkho
scabies,siibin aha
scale,pakhu
scan around,kahii-kakhe
scarce (food),henkhii
scent,naru
scissors,kesi*
scold,ga
scold (in vain),ganu-gana
scold (repeatedly),gaje
score a surface,ti
scoundrel,suru donyo
scramble down,yayi
scrape (with the nail),siikha
scratch,sii
scratch a surface,hinkha
scratch (to stop an itch),ho
scratch (with fingers),shii
scratch/peel a dried wound,miikho
scream,gyu
scrutinize,mechi-meyi
seal,jipo
sealed,-chun
search,me
search,meniin
search (in the pocket),hi
search around,melii-meha
search for someone,mebi
search for something in vain,mekha
search out,melin-meha
season (dish),pipu
secondary hearth located at the rear of the house,ura ugu
secret,-si/-si...-si
securely,-ti
see (again),kati
see (by mistake or inadvertently),kapu
see (clearly or cleverly),kacher
see (confusely),kahiin-kamii
see (deliberately),kadin
"see (first, before anyone else does)",kapyo
"see (first, overtaking or excluding other)",kago
see (for a long time/beyond the alloted time),kakan
see (for the first time),katu
see (from a distance),katu
see (from a place of hiding),kasi
see (how it goes),-ka
see (something and get into trouble because of it),kagyo
seed (corn/maize),tanyi-nyili
seed (cucumber),taku-kuli
seed (rice),eli
seed grain,kormo/komo
seedlings,ali-aho
seek support,aso piila
seems,-du
seep,du
seep down,duyi
seize,sii
seize with the hand,ga
segregate (by hand),la'ngu
seldom,ano lama
selfish,pimbu
select,kahe
selenarcos thibetanus,siitin
selfish,chale
selling place,pyuko
send,nen
send down/below/southward,nelo
send in/inside,nelii
send out/outside,nelin
send up/northward,nencha
senior,ami-aban
sensitive plant (mimosa pudica),hiinyan tami
separate (by picking),tu'ngu
separate (grain from chaff through winnowing action),kahe
separate (the outer and inner layers of a bamboo),lyo
separated,-khu
serious,raye
serious (wound),uro
serious (health condition),milin/milyin
serve food,he
sesame (sesamum indicum),nendu/nendu sanii
set (sun),a
set apart (by hand),la'ngu
set in order,-lyan
seventeen,alyan hela kanu/alyan le kanu
seventy,kanu khannge
seventy,kanu khannge
shade,amin
shadow,yalo
shaftment,hinkhe
shake,huniin
shake back and forth,huhii-hukhe
shall [do] now/in an instant,-chiku
shallow,akha/ukha
shameful,hiinyan
shank,liipya
shaping,lyiniin
share/divide (provisions),diiche-tanche
sharp (blade),are
sharp (bamboo),sekho
sharp-edged bamboo used as fence,patu/biran patu
sharpen (blade),pire
sharpen (bamboo),nyar
sharpen (with knife),he
sharpen (by rubbing),nere/nero
sharpening residue (bamboo),nyarkhu
shave one's face,gonmu resu/gomu resu
she/he,mo
she-cat,minii/ami-minii
sheaf,a'nga
shed (leaves),ru
shed (skin),yilu
sheep,siibun (Ha)/subun (Hi)/siigun
"sheet (of paper, e.g.)",ta-
shelter,lampii/lampi
shell,pakhu
shellfish (cowrie type),tahin
shield,siitin
shift (position/occupation),lehii-lekhe
shifted (position),-hii...-khe
shin,liipya
shinbone,liipya alo
shine (intermittently),kiilyi
shirt,tarii
schizothorax sp.,ngiilyan/ngiiyi-ngiilyan
shocked,alun
shoe,luku
shoot (of a plant),chirii
shoot (arrows),e
shoot (across),ebo
shoot (haphazardly around),ejo-eyo
shoot (successfully),eda
shooting star,gyopu
shop/store,dukan*
shore,siilyo
short,itu
short,tudii
short (in length),sonyo
shortage of food,henkhii-milyin
shorten/reduce something by folding,pyerdii
shortened,-dii
shortly,adomapa
shot,eniin
shot (as an action yet to be performed),ego
should [do],-lya
should have [done],-kinsiine/-kinsiitii
should not [do],-kinmane
shoulder,gorban
shoulder blade,liipi
shoulder strap,aha
shout,gyu
shout,gyu
shout (to draw other's attention or to celebrate a victory),pe
shove,tu
shove against,nii
shove off,dar
show (how to do something),-kin
show (someone something),kakin
show (someone something by telling him how),lukin
show off,modu-mobo
shuffle,piyo-pichi
shutter (of a cage),piinhe (Hi)/piinye
shuttle (of a tension loom),lokho
"shrill (sound, voice)",sosher
shrimp (freshwater),nyampo tasin/nyampo tashin
shrink,betun
shy,hiinyan
siblings (older),ate-ata
siblings (younger),anu-barmii
sichuan pepper (zanthoxylum sp.),sanii tero/santu tero
sickly (taste),bulun-biile
side (of a paddy field ajoining a canal or river),basii
sideburns,khenji amu (Hi)/khenyi amu
sigh,samo
significant,hatin
significantly,hatin-biilin
silence,chomyo
silk,endi
silk (coarse),jilya
silk cloth,endi pulye
silk cloth (coarse),jilya pulye
silken,hilu
silkworm/silkworm pupae,"empya tiyo (Ha, Bu)/impya tiyo"
silt,siimer
silver,rupu
similar,kapu
simpleton,unbu-unbe (Hi)/unbun
sing (by bird),ben
sing (*ayu songs),ayu yu
single,ako
sink (soil/earth/ground),lyanga
sip,unka
"sister (elder, term of address)",ata
"sister (elder, term of reference)",atabo
"sister (elder, female speaking, address and reference)",ami
"sister (younger, male speaking, reference only)",barmii
"sister (younger, female speaking, address and reference)",anu
sister's husband (term of address),ahu
sister's husband (term of reference),mabo (term of reference)
sister's son (term of address),ya
sister's son (term of reference),ohobo
sister's son's wife (term of address),amii
"sister-in-law (brother's wife, older than the speaker, term of address)",achi
"sister-in-law (brother's wife, older than the speaker, term of reference)",achibo
"sister-in-law (brother's wife, younger than the speaker, term of address)",amii
"sisters (female representatives of one's kindred, term of reference)",anu-ami
sit,du
sit (astraddle),barkho
sit (at a distance),dusa
sit (cross-legged),kome
sit/be seated (improperly or uncomfortably),dugo-dulyo
sit (face to face),durii
sit (idly),pata
sit (nearby),dunii
sit (near someone),pobo
sit (on eggs),gu
"sitting area (around the hearth, reserved for the wife of the household head)",ingya liipa
sixteen,alyan hela kiie/alyan le khe
sixty,alyan khiie
sixteen,alyan khiiye
sixty,alyan khiiye
size (in terms of area),apii-aso
size (how big or small something is),atu-kaye
skeleton,lochi/lobu-lochi
skeptical,lusi-luha
skewer (meat),nyu
skewer,yo yakho
skilfull,miicher
skilled (at doing something),-la
skin,alyo
skin (of a snake),akhu
skinny,alyo
skink,sojan
skip,poniin
skirt,abi
skull,dinta
sky,yapun
slab trap,dare
slab trap (for rats),kubu ude/kubu iide
slam,tu
slanted (neck/head),lanku
slantingly,-lyo
sleek,hilu
sleep,imi
sleep,iminiin
sleep (late),imi-ihii
"sleep (together, esp. with one's peer group)",doyi
sleeping area/place,imiko
sleeve,labu
slide,ya
slide,yaniin
slide (while in a sitting position),khii
slide down,yayi
slim,sopo
slip,sor
slip,tule
slit,lyoniin
sloughed skin (of a snake),akhu
slow moving,balyo/balyo-balyo
slow and cautious,ajo
sludge,jebi
slug,tano gorgo
sluggish,adun-arun
small (field),gartu
small fry,ngiiyi atu
small indian civet (viverra indica),siiso
small intestine,khiijan
small pieces of rice that remain on a plate or a table after eating,pimpu
small room inside a granary,kilu
small stick,yakho
smallest strip obtained by cutting a bamboo section longitudinally,yai
smallpox,tabun
smash,pudu-punyu pu
smear (animals with rice powder before sacrificing them),supun
smear (by pouring something),timya
smell,naru
smell (bad),naru nenkha
smell,nen
smelly,nenkha/nenkhu
smile,hika
smoke,muku
smoke,tan/muku tan
smoke-dry,aha
smoking pipe,sudu/muku sudu
smooth and shiny,hilu
smoothen (a cane splint),gyo
snail (esp. land snail),tano gorgo
snail shell,tano pakhu
snake,tabu
snake gourd (trichosanthes cucumerina),lahu
"snake head fish (channa sp., esp. ch. stewartii)",tabu ngiiyi
snare-type trap (variety),giiyo
snatch,ro
sneer,hile
sneeze,kajitin
snooze (esp. in a sitting position),imi niite
snore,i'nger
snout,nyatan
snow,tapin
snow pigeon (columba leuconata),ude pakhu
snub,nyadu-nyabo
so,hopa
so (emphatic),habya
so he/she says/said,hii
so that,-dopa/-dupa/-dupa la
soap,sabun*
sob,khengii
soften,je
solanum indicum,misan byako
solanum torvum,byako
solanum nigrum,tanii byako
solar frog,Ejan tatii
sole (of foot),liipyo
solidify,ka
some more,-ba
some time back,ale
something (anything),niijalo
sometimes,ronnge-ronnge
son (eldest),hiiro akhaoja
son-in-law (term of reference),mabo
soul,yalo
sound,-din
sound (make a sound),adu
soup,ala
sour,khuyi
source (river),chigu
south asian khagra reed (phragmites karka),pepu
sowing,liniin
soybean,peron/perun
spacious,rato
"spacious (house, building)",penro/pero
span (how long something is),tudii-obyo/tudii-iibyo
span (of a forearm),ladu tuhe/tuye
spangled drongo (dicrurus bracteatus),palyan
sparing,miijer-miiber
spark,miijer
sparkle,kiibyo
speak (a language),lu
speak (appropriately),ludi
speak (confusely),lukhiin-lumii
speak (correctly),luda
"speak (first, before anyone else does)",lupyo
speak (for a long time/speak too long),lukan
speak (for the first time),lutu
speak (from a distance),lutu
speak (in a discontinuous manner),luka-kaye-luma-kaye
speak (in a normal or rightful way),gonchan
speak (in a quivering voice),lulye-luche
speak (in order to amend/rectify something),lulyan
speak (normally/in a rightful manner),luchan
speak (normally/in an expected way),lulya
speak (on someone else's behalf),lubi
"speak (openly, in front of everybody)",lujo
speak (properly),lubi
speak/say something deliberately,ludin
speak/say something to protect someone,lugur-bengur
speak vigorously,lukhe
speak wrongly,lukha
spear,"adan (Ha, Bu)/iidan"
spear (long handled),"danso/adan danso (Ha, Bu)/iidan danso"
speculate,henlii
spend,miipa
spend/invest in something,ma
spend lavishly,hupa-huya (Hi)/hopa-hoya
sperm,myayi
sphere,apu
spice up (dish),pipu
spicy,iidii
spill over,miibi
spin,harii
spine of the nose,yapin-pinyan
spiny amaranth (amarathus spinosus),pulu tayi haman
spirit,uyi
spit,chu
split (a bamboo rope),yamyo
split (completely),khaja-khaya
split (one's legs apart when sitting),khoga
spoiled (food),kembe
spoon,punyu
spoon (metallic),talo punyu
spot-bellied eagle (bubo nipalensis),ngula-larii/ngiila larii
spotted leopard (panthera pardus),hogya taker
spotted (fur),taker
sprain,miikhii
sprain (one's ankle or knee while kicking),tukhii
spray (water),chor
spread (the hands),le
spread (the hands horizontally and sidewise),lyen
spread (wing),leta (Hi)/leter
spring,be
spring across,lyobo
sprout,chirii
sprout,belin
sprouted paddy,eni
spur (of cock),liita
spy,ro
squeeze (with the hands),ke
squint-eyed,ami horlyi
squirm (in the mud),rabe/rabe-ralyi
stab (with a pointed object),niiyu
stack (relatively big size things),pa
stack up,jo
stack up (closely),jode
stag (any type of cervidae having branched antlers),siichur
stage,hakun-hanyi
stagger,jaku-jalya
stagger (when walking),palya-pacha
stagnate,rii
stain (by falling onto something),dumya
stain by pouring something,timya
staircase,abya
stale (having a bad smell),nenkha/nenkhu
stalk,akho
stalk someone,ru
stamp (down with the foot),chaban
stand,da
stand (at distance),dasa
stand (at the wrong place),dagya
"stand (by oneself, without help from others)",dasa
stand (face to face),darii
stand up,bari
standing place,dako
stanza of an *ayu song,pen-
star,taker/achi taker
stark (landscape),tabin-talin
start (a fire by using a flint),yamu parge
starvation,yarii
starve,haya pi
stay away from something,dayi-damo
"stay (awhile, in a sitting posture)",dulya
stay/live together,duba-daba
stay/stand close to something or someone,danii
stay/stand for a long time,dakan
steam,hapin
steam (in bamboo),pan
stem,akho
stench,naru nenkha
step (walk softly),yorha
step aside,dahi
step across,dabo
step in,chaha
step on (someone's finger),chani
step on (something and get it sticked to the sole of the foot),chata
step out of,dalin
stepfather,aba-chi
stepmother,anii-chi
sternum,habyan alo
stick (of split wood),samper
stick (put into the ground as a boundary marker),sankhan
stick (result),-he
stick span,tu-
stick two things together,gedin/gedin-gepi
sticky and soft,tiige (Hi)/tiike
stiff,dara
still [doing],-ran/-rami
stilts (bamboo),ali innii-nanii
stinging,akha-aya
stinging nettle (urtica sp.),piirii
"stinger (on bees, wasps, etc.)",iita
stingy,chahi/chayi
stinky,nenkhu
stir (with a stick or any similar device),kho
stitch across,ripe
stitching work,ari-rigo
stomach,akhii
stone,yalan
"stone (variety, used in a children's game)",dopa
stool (seat),dutin/dutin-nanii
stoop,chuki/chukii
stooping,pokhii
stop (block),-tin
stop (bearing fruits),hite
stop (blooming),pute
stop falling (rain),hu'ngo
stop (talking or telling something),lu'ngo
"store room (of the house, where dishes are kept)",luchi
stout,kokudru
straddle,alii paga
straight (direct),parda
straight (frank),lotii
straightforward,parda
straighten,tarjin
straighten up,arjin
strain (a muscle e.g.),horjin
stranger,mi
strangle with a rope,hoser
"strap (shoulder, of a machete or sword sheath)",aha
straw (esp. of rice),liisi
stream (rivulet),kiile
streams and rivulets,siigan-siilin/siigan-siilyi
strength,alerniin
stretch (body),kiijin
stretch (result),-jin
stretch (hands horizontally and sidewise),lyen
stretched out lengthwise,chorjin-chikii
stretch out (one's hand),yu
stretch out (one's leg),tusher
stretch out (oneself),tarjing
strictly,gartin kiilin
"strident (sound, voice)",sosher
strike (by a machete or sword),paniin
strike (esp. with the head or horns),nii
strike (with the blade of a machete or sword),pa
"strike (deliberately, with a machete or sword)",padin
strike down (with a machete or sword),palo
strike in (with a machete or sword),palii
"strike (with a machete or sword, as an act of revenge)",pali
"strike (with a machete or sword, in a hasty and improper way)",pakun-pamu
"strike (with a machete or sword, so as to divide something)",pache
"strike (with a machete or sword, with an upward motion)",pacha
"strike (wrongly, with a machete or sword)",pagya
string (of a bow),lyiha
string (of a spring action snare),riiha
string of objects,yor-
string together,ari
strip (of bamboo),yai
strip off,pulyi
strip (on a textile),ripo-rilo
stripe (across one end to another),ripe
strix aluco,tapi ngiila/tapi ngula
stroll,leniin
strong (material),adan
strong (taste),keke
struggle (to do something),-khe
studies,puri
stuff inside,salii
stumble (with a pebble or stone),liichi
stump,tiitu
stump (of a bamboo),biran/bije biran
stump (of a tree),tu'ngin/sanii tu'ngin
stupid,piicha
stupid person,piicha
subclan (patrilineal),tulu
subject,piigo
succeed (someone in a speech),lujomon
successful hunter,migin
successfully,-bii
suck,byu
sudden,alun
suddenly,alunpa
sufficient,abi
sufficient (food),diibyan/diibyan-tanbyan
sugar,siini
sugarcane (saccharum officinarum),"tabe (Ha,Bu)/tiibe"
sugarcane stalk,tabe akho/tiibe akho
suggest/remind something over and over again,lukhan
suicide,shiijer-shiiniin
sulk,budu
summer,daru/daru piilo
summit,pulyan
sun,danyi
sun ray,danyi rila
sundry,alo
sunken-in (cheeks),moka
sunlight,danyi huto
sunny day,donnya
sunrise,danyi chadu
sunset,danyi adu
supervisor (of an agricultural labour team),patan ato
support (maintain in an upright position by means of poles or sticks),"turda (Ha, Bu)/ torda"
support (someone verbally),lubo
supporting post of a fence,dingyan
suppose,helii
suppress one's desire to eat,diikhii
surpass,-go
sus scrofa,siire
suspend,tiimo
suspend (hang),pa
swallow,mudo byocho
swallow,arnii
swallow (without chewing),niipu
swallow (something whole),mepu
swallow up,sayi
swamp,diju
swampy land,piro/pyoro
swan,pakan
sway,jagii
sway (stick or sword),le
sway (a stick or a sword to defend oneself),leter
swayingly,biko-biko
swear,hemme
sweat (of the hands and feet),ali-ala hubin/ali-ala hubyin
sweep,pii/iipii
sweep away,piipa
sweet,mitai*
sweet flag (acorus calamus),kiile tolyo
sweet tea vine (gynostemma pentaphyllum),riiko
swell (a lot/over),gobu-goga
swelling,pyanbu-pyanbe
swelling,pyanniin
swim (fish),chi
swing,babi
swing,babi bi
swinging,biniin
swollen (face),nabu gombu
sword (tibetan),chiri
sympathize with,henko
table,san*
tableware,paka turla
tabooed thing,biiso kacho
tadpole,bulyu
tail bone,koyu tapyo
take (with the hand),la
take (along with),-gii
take (a bath),harsu
take (a handspan),go
take (a furtive look at),karo
take (a look at),kaka
take (a proper look at),kadi
take (a short-cut),sardin
take (again),lati
take (and hide something),lachun
take (back what has been given),lakur
take (bribe),kamo dii
take (esp. rice) by ustensil or from a receptacle,gya
"take (first, before other does)",lapyo
take (for the first time),latu
take (much),laga
take (oath),hemme
take off (remove contents),kun
take (one's hand out),yulin
take (part in),miibo-lubo
take (one's turn in a speech),lusi
take (out something from an inside space),lalin
take (paddy out of the granary),cha
take (too much),laga-lale
tail bone,koyu tapyo
talk (at/from a distance),lutu
talk (badly about someone),sarne
talk (face to face),lurii
talk (for a long time/beyond the allotted time),lukan
talk (in an improper way),lulyo
talk (in one's sleep),lumu
talk (to someone),lurii
"talk (widly, indiscriminately or carelessly)",lupa-luma
talkative,luga
talking,luniin
tall reed (phragmites karka),pepu
tangled,hoko-hope
tapeworm (of dogs),aki tader
taraxacum sp.,kochi haman
taro (cultivated),i'ngye/inye/i'nge
taro leaf,i'ngye anii
tasteless,sarsii
tawny catsnake (boiga ochracea),biiya yalan
tawny owl (strix aluco),tapi ngiila/tapi ngula
tea,sha*/sa*
tea (black),lal sha*/lal sa*
teach (someone something),tagii-kagii
"teach (someone something, by showing him)",kagii
"teach (someone something, through hearing)",tagii
"teach (someone something, usually from books)",puri rigii
teacher,sarii*
tear,mila
tear (lengthwise),cha
"tear (paper, cloth)",sarne
tear (apart),tiija-tiiya
tear (off),-ja
tear (off by hand),sarja
tear (off by scratching),siija
tear (off with a machete or sword),paja
tear (open),sarko
tear (something by kicking it),tuser
tear (the outer skin of a bamboo),lyo
teardrop,mila
tease (verbally),luhu-luha
teat,nyimper
tell (a parable/proverb),tin
tell (something secretly),lusi
tell (the truth),luje
temminck's tragopan (tragopan blythii),pudu-pukho/pudu-pukhu
temperature,lakhii gubu
temples,khenji (Hi)/khenyi
ten,alyan
tender,biiyi
tender (plant),ajan
tendon,aro
tendril,rila
tenth lunar cycle of the year,buntii piilo/bunchi-buntii piilo/entii piilo
ten years,nyalan/anyan-nyalan
testicles,biilin
tether,ran
thank you,payo-pacho/aro pacho/paya aro pacho
that,-pa
that way,hiitan
thatch,kotin
the night before last (night),koyo
their,moluka
theirs,molukii
them,molumi
themselves,molusu
these days,sipun
they (pl.),molu
they (dl.),molunyi
thick,byanker
thigh,harlan
thin (non-living thing),bolyo
thing/matter,na
thing that can be done or has to be done,-sii
thing that one should not do,-masaniin
thing to be done,-go
things of poorer quality,halyan
think (that),"hen (Ha,Bu)/hin"
think about something,"hen (Ha,Bu)/hin"
think correctly,henda
think without a purpose,hennyo
third,hingiinii
third lunar cycle of the year,myoko/myoko piilo
thirst,mokhanii
thirsty,mokha
thirteen,alyan hela hinnge/alyan le hin
this evening,siilyin
this morning,siiro
this much,siikane
this night,siyo/siiyo
this way,siitan
this year,siinyan
thorn,"tare (Bu, Du)/tiire"
thorny,"tare (Bu, Du)/tiire"
those two,hiinyi
thought,henniin
three days hence,riiboda
three days hence morning,riiboda aro
three days hence evening,riiboda alyin
three days hence night,riiboda ayo
three times,rohin/rohinhe
thresh (by trodding underfoot),ne
threshold of door,lyego
thrice,rohin/rohinhe
throat pipe (trachea),gyuyi-gyuro
throw (flat objects),pa
throw (disc-like objects),tii
"throw (spear, stick)",chi
throw (rounded objects),ku/kuhu
throw (stones),ri
throw out (dispose of),kumpa
throw or push something down by a bending action,hete
throw the last piece from a plate/pot by hitting or scratching it,pakhan
throw up,pider (Hi)/piide
thrush (garrulax sp. or turdus sp.),more pai
thrust (pelvis),kolyun
thrust against,nii
thumb finger,lanii
thumb toe,liinii
thunder,yapun giiniin
thunderbolt,korlan
thus,hopa
tibet,Nyime
tibetan,Nyime
tibetan,nyime
tibetan woolen cloth,tongo
tibetan sword,nyime ilyo
tibetan prayer bell,maji
tick,siire tiikhe
tick,hage
ticto barb (puntius ticto),papi ngiiyi/ngiiyi papi
tie,ara/ra
tie into bundle (bamboos),rii
tie into bundle (firewood),ra
tie cows,ran
tiger (panthera tigris tigris),patii
tiger tooth,patii ahi
tight,ache
tightly,-ti
tighten something by means of a stick,bede
till completion,-pe
timber,sanje (Hi)/sanye
time,baji*
time (period),myodu
time when the rooster crows,paro liigo
times,ron-
timorous,hame
tinder,miiyan
tinder bag,miiyan chiru
"tip (of stick, trunk, pole, branch, etc.)",mitu
tip of bamboo,hiibi
tip over,rite
tiptoe,kudu
tired,"rengii (Ha,Hi)/renge (Bu)/renge pehe"
tiying,raniin
to (in order to),pa
to him/her,mopa
to me,ngiipa
to us,ngunupa
to them,molupa
to you (sg.),niipa
to you (pl.),nunupa
tobacco box,duhi yachu
tobacco plant seed,muku-kuli
today,siilo
toe,liichi
toe (big),liinii
toe nail,liihin
toe ring,liichan
toko palm (livistona jenkinsiana),tokopatta
"toil (soil, field)",apo khen
toilet,nekan
tom cat,mipo/ami-mipo
tomato,"byayun (Ha,Bu)/beyun"
tomorrow,arda
tomorrow evening,arda alyin
tomorrow morning,konda
tomorrow night,arda ayo
tongs,miige
tongue,alyo
tongs used to take roasted maize out of the fire,tanyi miige
tonight,siyo/siiyo
too,tare (Hi)/tere (Ha)/ter (Bu)/tiire
too much/too many,abu haja
too much (proudy),hago
tool,miina-nanii
tooth,ahi
tooth gum,hilu
toothache plant (acmella oleracea),yorkhun haman
topic,piigo
topknot,piidin
torch (electric),layi*
torso,apo
tortoise,raku (Hi)/(samin) rako (Bu)/(samin) ranko (Bu)/samin raku
totter,palya-pacha
touch,tema
"touch someone lightly with one's body, as when flirting",giine-giise
toy,amin-ahi
track (forest),more lenda
trachea,gyuyi-gyuro
tragopan blythii,udu pukho/pudu pukhu
traitor (liar),lyolichochi
tramp,chadin
transform oneself,lyigu
transport,gii
tray,sampya
tread (heavily),chadin
treat someone to a meal,ho
tree branches,sanii aha-abya
tree grove area,sadi
tree fern (cyathea gigantea),tase
tree sparrow (passer montanus),pari/pari piita
tree stump,tu'ngin
treron bicincta,salyo paku
trim off,hu
troubled (water),kacho
tropical pumpkin (cucurbita moschata),"tape haman (Ha, Bu)/epe haman"
trouble,hache
trouble,henga-henkha
true,jije
truely,jije/jijepa
"trunk (of a tree, e.g.)",apo
trunk (of the body),apo
trust,henje
trustworthy,hentin
truth,jije
try,-ka
