English,Apatani
celebrate (festival),so
celebration,soniin
ceiling battens,manko
ceiling floor,reke
ceiling rack,"bade/yo bade (Hi,Ho)/khachi/yo lankhan"
cellulitis,tiike diiniin
centella asiatica,ngiilyan khiiko.
center,liipa
centipede,tarji
central,liipa
ceremonies (collective rituals),ditun-potun
certain (that),ke/kii
chafer (cetonia aurata),jojer
chaff,piinan
chain,ranyi
chair,soki*
challenge (someone verbally),lukha
chameleon plant (hottuniya cordata),sia haman/siyan haman
champa tree (michelia champaca),salyo sanii/selyo sanii
chance (be/have a),-dii
change (do differently),-gu
change (direction),ingu
change (one's action/work/activity),miihii-miikhe
change (one's view/opinion),luhii-lukhe
change (someone's name),myangu
change (the subject),luser
change into (transform),lyi
changed,-hii...-khe
chank shell bead,sampo/sampu
chank shell beaded necklace,sampo tasan/sampu tasan
chank shell beaded necklace (priestly),milo sampo/milo sampu
chank shell necklace fastener,sango tape
channel (in a rice field for drainage),mugo
chant (*ayu song),ayu yu
character,henju-hemmyo
charcoal,yamu miiri
charge (interest),bar
charge (with a crime),khelii (Hi)/khiilii
charming,harhu
chase,miijomonniin
chase (a person or an animal to shoot him/it),ejo
chase (away),mopa (Ha)/monpa
chasm,pabu
cheap (in price),khiima/khiimanii
cheat,talu balo
cheek,morun
cheekbone,mogo alo/morun alo
chest,habyan
chestnut,kiira/kiira ahi
chestnut tree (castanopsis sp.),kiira sanii
chestnut tree (old),rakha
chestnut tree (young/sapling),rapa
chew,nyen
chick,pachu/paro-pachu
chick weed (ageratum conyzoides),hiiyi tami
chicken,pachu/paro-pachu
chicken (adolescent),piibya (Hi)/pabya
chicken carrier/cage,pater/paro-pater
chicken coop,piiri/paro piiri
chicken feed,pamin
chicken louse,pami/paro-pami
child (kid),hime
child (son),oho
child's spouse's father (term of address),aba
child's spouse's father (term of reference),aba
child's spouse's mother (term of address),ane/ama
child's spouse's mother (term of reference),anii
children (kids),hime atan
children (sons and daughters),oho atan
chilly (capsicum anuum),tali yordu
chilly,lakhii
chin,gompii
chinese creeper (mikania micrantha),riri haman
chinese green onion (allium fistulosum),"tale (Ha, Bu)/lepi"
chinese melon-shaped glass bead,page
chinese pangolin (manis pentadacyyla),siipi
chinese serow (capricornis miineedwardsii),kiidi siibin
chink,gorgi
chip,papi
chisel (iron),piilo
choose,kahe
choosy (about food),diihi-diimi
choosy (about food and drink),diihi-tanhi
chop (with a machete or sword),pa
chop (trunk),po
chop down (tree),tii
chubby (child),dedemiire
chuckle,ngarsi
chukka (croton roxburgii),pai lamu
chunky,dedemiire
cicatrix,giikor/giiko
ciconia nigra,yasi parin
cinamon tree (cinamomum verum),kheyi/kehi/kei
cinamon bark,kheyi alyo/kehi alyo/kei alyo
circle cane (used in rituals),soker
circle of friends,ajin-apii
cirrhinus cirrhosus mrigal,ponyo ngiiyi
citrus (variety),tiinga/nimbu* tiinga
civet,siilii
claim (ownership),chi
clayish soil,diya/khiidi diya
clan (patrilineal),halu
clash (result),-ya
clash (over eating something),diiya
classifier for baskets carried by a strap around the forehead,gii-
classifier for baskets carried by hand,po-
"classifier for bamboo mugs, cups, etc.",tur-
classifier for bamboo sections used as receptacles,du-
classifier for bowls and bangles,ko-
"classifier for buckets, bins",po-
"classifier for bunches, clusters",pun- (Hi)/pyun-
"classifier for bunches of flowers, beads, etc.",byan-
classifier for bundles of bamboos,rii-
classifier for bundles of cane ropes,kii-
classifier for bundles of firewood,ra-
classifier for bundles of flat objects,chen-
classifier for cane haversacks (*lera),ra-
classifier for colours,yo-
classifier for days,lo-
classifier for discs or disc-like objects,bar-
classifier for fathoms,lyen-
"classifier for foot steps, paces",da-
"classifier for foot steps (of ladder, staircase, etc.)",ha-
classifier for fowls,ro-
classifier for granaries,su-
"classifier for groups, bands, flocks",ton-
classifier for houses and other building structures,pen-
classifier for ladles or ladlefuls,ju-
"classifier for large sized quadrupeds, four-wheeled motor vehicles",dor-
classifier for long cylindrical or spherical objects,bu-
"classifier for long, thin objects or living things",so-
classifier for loops and other circular things,kar-
classifier for nights,yo-
classifier for night cycles,i-
classifier for outer layers of split bamboo poles,yar-
classifier for pieces of clothing,ber- (Hi)/byar-
classifier for plates,ku-
classifier for plots of land,par-
"classifier for pots, pans",chan-
"classifier for punches, times, holes",u-
classifier for rice fields,gar-
"classifier for roads, paths, ways",bya-
"classifier for seasons, generations, times, folds, doses",ron-
"classifier for sheets of paper, volumes of books",ta-
"classifier for small, grain-like things",par-/per-
classifier for spherical or globular objects,pu-
classifier for sticks,kho-
classifier for stick spans or forearm spans,tu-
classifier for tasks to be performed,po-
"classifier for trunks, wooden logs",po-
"classifier for types, kinds",lyo-/yo-
classifier for villages,pon-
classifier for walls,byar-
classifier for wheels and other large cylindrical objects,po-
classifier for years,nyan-
classifier for stanzas of *ayu songs,pen-
classy,huta
claw,liigyu
clay,dekin
clay pot,dekin piichan
clean,darii
clear (evident),darii
clear (hearing),rubi
clear (result),-der
clear (water),darii
cleft lip,nyachu paja/yachu paja
clerodendrum colebrookianum,pato haman
cleverly,-cher
cliff,ditin
climb (back),chakur
climb (till the destination is reached),chape
climb up,giicha
clitoris,pelyin
clock,gori*
close (door),yachi
close (hand),lapu
close (intimate),aran/uran
close (mouth),gompin/gompyan
close (something by pushing),nantin
close (something by rolling a rounded object over it),jirpin
close (the mouth),gonpin/gompin
close (eyes),miti
close (with the hand),lapin
close (with a lid or cork),atu
close to,biilyo ho
closely (directional),-de
closely,adomapa
closely,byar-
closed-fisted hand,lapu
cloth button,pulye lako
cloud,jomii/jomu
clouded leopard (neofelis nebulosa),hogya
cloudy,domin
cluster,apun- (Hi)/apyun-
clutch,gati
coagulated blood,ayi-yilin
coal,muri/miiri
cobra lily (arisaema sp.),uyi tanyi
cob (of corn/maize),piiko
cobweb,rimi tasun/rimbi dansun
cock,ropo/paro-ropo
cockfeathers,miigan
cockroach,tati
cockscrow,paro khoniin
"coddle (baby, animal)",miibu-miiga
coil (thread),lin
cold (illness),sarin
collapse,giiyi
collect,nu
collect (firewood),lyo
collect (building materials),na
collect (firewood along with someone),lyobo
collect (gather),hu
collect (honey),len
collect (liquid),ha
collect (with a basket or a net),ha
collect (with hands),ho
collecting,laniin
collectively,-kun
colocasia esulenta,inhe
colour striped,rimyo-riso
color (chemical dye),ron*
columba leuconata,ude paku
columba pulchricollis,khentii paku
combine (two or more things so as to make a pile),tadin
combined,-gyo
come (home),a
come (inside to do something),-ha/-a
come (in to gossip),khanha
come on,kiije
comfortable,henjun
commission (paid to a mediator in a trade deal),dujo/dujo mudu
commit (mistake inadvertently),miipu
commit (adultery),ipyo
commit (blunder),miigya
commit (offense/crime),miigya
commitment,golin kuniin
common carp (cyprinus carpio),ngiiyi
common hoopoe (upupa epops),pagi yarii
common kingfisher (alcedo atthis),yasi pari
common indian monitor (varanus bengalensis),gyoyi tabu
common myna (acridotheres tristi),halika*
common walnut (juglans regia),hiiho sanii
community,butii
compete,-go...-lo
complain,shor
complete (the cooking of something),khiija
completely,-nya
comprise,dogyo
"concentrated (food, beverage)",hiinin
condemn,lupa
cone (of conifers),sakhu/piisa-sakhu
confine,tun
confortable,henjun
confuse someone (bewilder),henko-hempe mii/hinko-himpe mii
confused (by what one hears),tamur
confused (by what one sees),kamur
confusion,apun-aka
consist of,dogyo
console (child),mya
conspire,ru
consume (food exagerately/wastefully),diikho
consume (one's provisions exagerately/wastefully),diikho-tankho
construct (house),"pen (Ha, Bu)/pin"
contents (of a book),giiniin
continually and regularly,tiilii-tiilii
continuously,-jo...-jo
continuously (generated),shuhu
contract,betun
contribute,bibo
contribution,mihin
convenient,miiji-miipa
converse (with someone),lurii
convince (persuade),yar
convince (people one by one),yarsi/yarsi-yarsi
cook (by boiling),khii
cook (for someone),khiibi
cook (the wrong way),khiikha
cook (till dry),khiipa
cooked,amin
cooked rice,apin
cooking,khiiniin
cooking way/procedure,khiiju
cool,habun
cool (moderately cold),helye
coop up,tun
cooperatively,-gya
correct,miider
correctly,-da
cork,atu-nanii
coriander (coriandrum sativum),dunyan*
corn,tanyi
corn (on foot),tayin tarpin/tai tarping
corner (of the hearth),ugu pachan
cornsilk,tanyi marpu
corpse (dead body),siima
correct,miider
correctly,-da
corvus macrorhynchos,piiha/puha
cosmos,siichan miido
cost,khii
cost (a lot or too much),khiiga
costly,khiinii
cotton,empya
cough,sarin
cough,sarin sa
could not [do],-lakuma
count,khii
count (as),khii
count (as a trial),khiika
count (fast),khiiga
count (in a confused or confusing manner),khiilu-khiile
count (incorrectly),khiika
count (the major,of something) vt. khiikhu-khiiche
counting stick,koter
courageous,haro
cover (one's head with a blanket or cloth),kulu
cover (something),pulu
cover (with a cloth),kepu
covetous,kau
cow,sii
cow (as opposed to bull),sii hiinii/siinii
cow (heifer),siido
cow dung,sii ikha
cow skin,siilyo
cowrie shell,takin
cowrie sword strap,tahin/tayin
cozy,gubu giiba
crabby (bad-tempered),hindii
